word,zipf
ataps,0.0
ataxy,1.85
atigi,0.0
atilt,1.03
atimy,0.0
atlas,3.99
atman,0.0
atmas,0.0
atmos,0.0
atocs,0.0
atoke,0.27
atoks,0.0
atoll,3.02
atoms,0.0
atomy,0.0
atone,3.02
atony,2.32
atopy,2.15
atria,0.0
atrip,1.43
attap,1.35
attar,2.39
attas,0.0
atter,2.59
attic,3.63
atuas,0.0
aucht,1.74
audad,0.0
audax,0.0
audio,4.14
audit,4.35
augen,2.38
auger,3.32
auges,0.0
aught,3.36
augur,2.72
aulas,0.0
aulic,1.8
auloi,0.0
aulos,0.0
aumil,0.87
aunes,0.0
aunts,0.0
aunty,2.73
aurae,0.0
aural,3.15
aurar,0.0
auras,0.0
aurei,0.0
aures,0.0
auric,2.15
auris,0.0
aurum,2.2
autos,0.0
auxin,2.9
avail,4.1
avale,0.89
avant,3.44
avast,1.85
avels,0.0
avens,1.76
avers,0.0
avert,3.44
avgas,0.0
avian,3.36
avine,0.81
avion,1.94
avise,0.0
aviso,1.6
avize,0.92
avoid,4.89
avows,0.0
avyze,0.0
await,3.77
awake,4.02
award,4.75
aware,4.82
awari,0.0
awarn,0.0
awash,2.79
awato,0.0
awave,0.81
aways,2.17
awdls,0.0
aweel,1.52
aweto,0.35
awful,4.09
awing,1.76
awkin,0.0
awmry,0.0
awned,2.35
awner,0.72
awoke,0.0
awols,0.0
awork,1.3
axels,0.0
axial,4.04
axile,1.8
axils,0.0
axing,0.0
axiom,3.42
axion,0.0
axite,0.15
axled,1.33
axles,0.0
axman,0.0
axmen,0.0
axoid,0.68
axone,1.43
axons,0.0
ayahs,0.0
ayaya,0.0
ayelp,0.0
aygre,0.0
ayins,0.0
aymag,0.0
ayont,1.22
ayres,0.0
ayrie,0.0
azans,0.0
azide,2.75
azido,1.94
azine,0.0
azlon,0.0
azoic,1.99
azole,0.0
azons,0.0
azote,2.22
azoth,0.0
azuki,1.38
azure,3.29
azurn,0.05
azury,0.0
azygy,0.0
azyme,0.29
azyms,0.0
baaed,0.0
baals,0.0
baaps,0.0
babas,0.0
babby,1.79
babel,3.14
babes,0.0
babka,1.43
baboo,2.23
babul,1.78
babus,0.0
bacca,1.69
bacco,2.06
baccy,1.57
bacha,1.82
bachs,0.0
backs,3.94
backy,0.8
bacne,0.0
bacon,4.18
badam,0.0
baddy,0.0
badge,3.61
badly,4.29
baels,0.0
baffs,0.0
baffy,0.76
bafta,1.6
bafts,0.71
bagel,2.48
baggy,2.8
baghs,0.0
bagie,0.0
bagsy,0.0
bagua,0.0
bahts,0.0
bahus,0.0
bahut,1.17
baiks,0.0
baile,2.29
bails,0.0
bairn,2.42
baisa,0.81
baith,2.27
baits,0.0
baiza,0.94
baize,2.38
bajan,1.64
bajra,0.0
bajri,1.53
bajus,0.0
baked,3.78
baken,1.53
baker,4.42
bakes,0.0
bakra,0.0
balas,2.05
balds,0.0
baldy,2.51
baled,2.65
baler,0.0
bales,3.79
balks,0.0
balky,1.9
ballo,0.0
balls,4.07
bally,2.68
balms,0.0
balmy,2.88
baloi,0.0
balon,0.0
baloo,1.79
balot,0.0
balsa,2.47
balti,0.0
balun,0.0
balus,0.0
balut,0.0
bamas,0.0
bambi,0.0
bamma,0.0
bammy,0.0
banak,1.02
banal,2.94
banco,3.27
bancs,0.0
banda,2.93
bandh,0.0
bands,0.0
bandy,2.63
baned,0.86
banes,0.0
bangs,0.0
bania,0.0
banjo,2.94
banks,4.98
banky,1.26
banns,2.64
bants,0.0
bantu,3.3
banty,0.0
bantz,0.0
banya,1.61
baons,0.0
baozi,0.0
bappu,0.0
bapus,0.0
barbe,2.47
barbs,0.0
barby,0.0
barca,2.38
barde,1.7
bardo,0.0
bards,0.0
bardy,1.69
bared,3.0
barer,0.0
bares,0.0
barfi,0.0
barfs,0.0
barfy,0.0
barge,3.79
baric,1.92
barks,0.0
barky,1.46
barms,0.0
barmy,1.75
barns,0.0
barny,0.0
baron,4.1
barps,0.0
barra,0.0
barre,3.38
barro,0.0
barry,4.05
barye,1.74
basal,4.18
basan,1.71
basas,0.0
based,5.51
basen,0.0
baser,0.0
bases,4.39
basha,2.09
basho,2.11
basic,5.14
basij,0.0
basil,3.75
basin,4.59
basis,5.33
basks,0.0
bason,2.3
basse,2.59
bassi,0.0
basso,2.75
bassy,0.0
basta,2.18
baste,2.57
basti,0.0
basto,1.5
basts,0.0
batch,3.94
bated,2.48
bates,0.0
bathe,3.31
baths,3.83
batik,2.47
baton,3.66
batos,0.0
batta,2.04
batts,0.0
battu,0.0
batty,2.57
bauds,0.0
bauks,0.0
baulk,2.11
baurs,0.0
bavin,1.77
bawds,0.0
bawdy,2.71
bawks,0.0
bawls,0.0
bawns,0.0
bawrs,0.0
bawty,0.02
bayas,0.0
bayed,1.87
bayer,3.2
bayes,3.03
bayle,2.75
bayou,3.39
bayts,0.0
bazar,2.96
bazas,0.0
bazoo,0.0
bball,0.0
bdays,0.0
beach,4.62
beads,3.84
beady,2.47
beaks,0.0
beaky,1.57
beals,0.0
beams,0.0
beamy,1.66
beano,1.77
beans,0.0
beany,1.84
beard,3.99
beare,2.78
bears,0.0
beast,4.03
beath,1.9
beats,3.73
beaty,2.49
beaus,1.77
beaut,2.06
beaux,3.09
bebop,2.3
becap,0.0
becke,0.0
becks,0.0
bedad,1.69
bedel,1.9
bedes,0.0
bedew,1.47
bedim,1.12
bedye,0.0
beech,3.56
beedi,0.0
beefs,0.0
beefy,2.4
beeps,0.0
beers,0.0
beery,2.32
beets,0.0
befit,2.22
befog,1.5
begad,1.49
began,5.23
begar,1.59
begat,2.78
begem,0.8
beget,2.92
begin,4.9
begob,0.94
begot,2.65
begum,2.73
begun,4.6
beige,3.1
beigy,0.0
being,5.95
beins,0.0
beira,2.58
beisa,0.99
bekah,1.4
belah,1.33
belar,0.0
belay,2.26
belch,2.42
belee,0.27
belga,0.0
belie,2.72
belit,0.0
belle,3.77
belli,0.0
bello,0.0
bells,3.94
belly,3.94
belon,0.0
below,5.3
belts,0.0
belve,0.0
bemad,0.73
bemas,0.0
bemix,0.0
bemud,0.0
bench,4.3
bends,3.55
bendy,1.73
benes,0.0
benet,2.65
benga,0.0
benis,0.0
benji,0.0
benne,2.02
benni,1.46
benny,3.29
bento,0.0
bents,0.0
benty,1.07
bepat,0.0
beray,0.43
beres,1.81
beret,2.58
bergs,0.0
berko,0.0
berks,0.0
berme,1.63
berms,0.0
berob,0.0
berry,3.99
berth,3.45
beryl,3.12
besat,0.0
besaw,0.0
besee,0.22
beses,0.0
beset,3.52
besit,0.82
besom,2.01
besot,0.93
besti,0.0
bests,0.0
betas,0.0
beted,0.0
betel,2.82
betes,0.0
beths,0.0
betid,1.05
beton,2.2
betta,0.0
betty,3.89
bevan,0.0
bevel,3.2
bever,2.32
bevor,0.0
bevue,0.86
bevvy,0.0
bewdy,0.0
bewet,0.21
bewig,0.28
bezel,2.26
bezes,0.0
bezil,0.25
bezzy,0.0
bhais,0.0
bhaji,1.24
bhang,2.09
bhats,0.0
bhava,0.0
bhels,0.0
bhoot,0.97
bhuna,0.0
bhuts,0.0
biach,0.0
biali,0.0
bialy,1.39
bibbs,1.79
bibes,0.0
bibis,0.0
bible,4.68
biccy,0.0
bicep,0.0
bices,0.0
bicky,0.88
biddy,2.68
bided,2.1
bider,1.25
bides,0.0
bidet,1.86
bidis,0.0
bidon,1.06
bidri,1.0
bield,1.26
biers,0.0
biffo,0.0
biffs,0.0
biffy,0.0
bifid,2.72
bigae,0.0
biggs,0.0
biggy,0.0
bigha,1.85
bight,3.11
bigly,0.86
bigos,1.23
bigot,2.74
bihon,0.0
bijou,2.45
biked,0.0
biker,2.55
bikes,0.0
bikie,0.0
bikky,0.19
bilal,0.0
bilat,0.0
bilbo,2.44
bilby,1.99
biled,0.0
biles,0.0
bilge,2.85
bilgy,0.37
bilks,0.0
bills,0.0
billy,4.02
bimah,0.0
bimas,0.0
bimbo,2.19
binal,0.7
bindi,0.0
binds,0.0
biner,0.0
bines,0.0
binge,2.96
bingo,3.1
bings,0.0
bingy,0.48
binit,0.66
binks,0.0
binky,0.0
bints,0.0
biogs,0.0
biome,2.43
bions,0.0
biont,0.3
biose,0.0
biota,2.97
biped,2.31
bipod,1.67
bippy,0.0
birch,3.81
birdo,0.0
birds,0.0
biris,0.0
birks,0.0
birle,1.16
birls,0.0
biros,0.0
birrs,0.0
birse,1.57
birsy,0.0
birth,4.81
birze,0.0
birzz,0.0
bises,0.0
bisks,0.0
bisom,0.0
bison,3.26
bitch,3.62
biter,2.11
bites,0.0
bitey,0.0
bitos,0.0
bitou,0.0
bitsy,2.06
bitte,0.0
bitts,1.89
bitty,2.14
bivia,0.0
bivvy,1.06
bizes,0.0
bizzo,0.0
bizzy,0.0
blabs,0.0
black,5.35
blade,4.22
blads,0.0
blady,1.07
blaer,0.0
blaes,0.0
blaff,0.21
blags,0.0
blahs,1.28
blain,2.53
blame,4.27
blams,0.0
blanc,3.37
bland,3.56
blank,4.34
blare,2.43
blart,0.88
blase,2.31
blash,0.86
blast,4.14
blate,1.28
blats,0.0
blatt,0.0
blaud,1.41
blawn,0.0
blaws,0.0
blays,0.0
blaze,3.56
bleah,0.0
bleak,3.51
blear,1.89
bleat,2.28
blebs,0.0
blech,0.0
bleed,3.46
bleep,2.03
blees,0.0
blend,3.89
blent,2.17
blert,0.0
bless,3.96
blest,3.28
blets,0.0
bleys,0.0
blimp,2.24
blimy,0.41
blind,4.54
bling,2.34
blini,1.29
blink,3.25
blins,0.0
bliny,0.64
blips,0.0
bliss,3.87
blist,1.04
blite,1.22
blits,0.0
blitz,2.89
blive,1.43
bloat,2.46
blobs,0.0
block,4.82
blocs,0.0
blogs,0.0
bloke,2.83
blond,3.59
blonx,0.0
blood,5.23
blook,0.0
bloom,4.06
bloop,1.27
blore,2.01
blots,0.0
blown,4.0
blows,0.0
blowy,1.31
blubs,0.0
blude,1.67
bluds,0.0
bludy,0.0
blued,2.15
bluer,2.34
blues,3.83
bluet,1.6
bluey,1.84
bluff,3.77
bluid,0.0
blume,2.79
blunk,1.38
blunt,3.81
blurb,2.36
blurs,0.0
blurt,2.41
blush,3.57
blype,0.0
boabs,0.0
boaks,0.0
board,5.58
boars,0.0
boart,1.52
boast,3.74
boats,0.0
boaty,0.57
bobac,0.66
bobak,0.0
bobas,0.0
bobby,3.73
bobol,0.0
bobos,0.0
bocca,2.13
bocce,1.52
bocci,1.33
boche,2.35
bocks,0.0
boded,2.19
bodes,0.0
bodge,1.59
bodgy,0.0
bodhi,0.0
bodle,1.62
bodoh,0.0
boeps,0.0
boers,0.0
boeti,0.0
boets,0.0
boeuf,2.46
boffo,1.26
boffs,0.0
bogan,0.0
bogey,2.62
boggy,2.72
bogie,2.74
bogle,2.51
bogue,2.69
bogus,3.03
bohea,1.84
bohos,0.0
boils,0.0
boing,2.11
boink,0.0
boite,0.0
boked,0.0
bokeh,0.0
bokes,0.0
bokos,0.0
bolar,1.6
bolas,1.93
boldo,1.17
bolds,0.0
boles,0.0
bolet,0.0
bolix,0.0
bolks,0.0
bolls,0.0
bolos,0.0
bolts,0.0
bolus,3.04
bomas,0.0
bombe,0.0
bombo,1.52
bombs,0.0
bomoh,0.0
bomor,0.0
bonce,1.08
bonds,4.96
boned,2.84
boner,2.37
bones,4.42
boney,2.32
bongo,2.44
bongs,0.0
bonie,0.0
bonks,0.0
bonne,2.86
bonny,2.97
bonum,0.0
bonus,4.04
bonza,0.0
bonze,1.7
booai,0.0
booay,0.0
boobs,0.0
booby,2.77
boody,1.79
booed,0.0
boofy,0.0
boogy,0.0
boohs,0.0
books,0.0
booky,1.08
bools,0.0
booms,0.0
boomy,1.16
boong,0.82
boons,0.0
boord,2.16
boors,0.0
boose,1.88
boost,3.78
booth,4.02
boots,4.11
booty,3.25
booze,2.98
boozy,1.93
boppy,0.0
borak,0.0
boral,1.76
boras,1.72
borax,3.22
borde,2.18
bords,0.0
bored,3.79
boree,1.35
borek,0.0
borel,2.81
borer,3.29
bores,0.0
borgo,0.0
boric,3.11
borks,0.0
borms,0.0
borna,0.0
borne,4.39
boron,3.65
borts,0.0
borty,0.0
bortz,0.0
bosey,0.69
bosie,1.71
bosks,0.0
bosky,1.8
bosom,3.88
boson,2.87
bossa,0.0
bossy,2.61
bosun,2.18
botas,0.0
botch,2.09
boteh,0.0
botel,1.54
botes,0.0
botew,0.0
bothy,1.94
botos,0.0
botte,1.78
botts,2.38
botty,0.0
bouge,1.45
bough,3.12
bouks,0.0
boule,2.46
boult,2.28
bound,4.9
bouns,0.0
bourd,1.54
bourg,2.52
bourn,2.4
bouse,2.67
bousy,0.03
bouts,0.0
boutu,0.0
bovid,1.55
bowat,0.04
bowed,3.87
bowel,3.8
bower,3.45
bowes,0.0
bowet,0.0
bowie,3.25
bowls,3.62
bowne,2.41
bowrs,0.0
bowse,1.24
boxed,3.21
boxen,1.04
boxer,3.33
boxes,4.41
boxla,0.0
boxty,0.0
boyar,2.14
boyau,1.01
boyed,0.0
boyey,0.0
boyfs,0.0
boygs,0.0
boyla,0.02
boyly,0.0
boyos,0.0
boysy,0.0
bozos,0.0
braai,0.0
brace,3.74
brach,2.18
brack,2.52
bract,2.64
brads,0.0
braes,0.0
brags,0.0
brahs,0.0
braid,3.27
brail,1.71
brain,4.83
brake,4.1
braks,0.0
braky,0.34
brame,2.05
brand,4.37
brane,2.44
brank,1.4
brans,0.0
brant,3.14
brash,2.81
brass,4.27
brast,1.49
brats,0.0
brava,2.24
brave,4.2
bravi,0.0
bravo,3.19
brawl,2.79
brawn,2.61
braws,0.0
braxy,1.42
brays,1.82
braza,0.0
braze,2.26
bread,4.55
break,4.81
bream,2.77
brede,2.19
breds,0.0
breed,4.1
breem,0.85
breer,1.5
brees,0.0
breid,1.34
breis,0.0
breme,1.39
brens,0.0
brent,3.44
brere,1.11
brers,0.0
breve,2.57
brews,0.0
breys,0.0
briar,2.86
bribe,3.4
brick,4.42
bride,4.08
brief,4.85
brier,2.67
bries,0.0
brigs,2.44
briki,0.0
briks,0.0
brill,3.33
brims,0.0
brine,3.62
bring,5.15
brink,3.55
brins,0.0
briny,2.33
brios,0.0
brise,1.89
brisk,3.52
briss,1.54
brith,1.97
brits,2.44
britt,2.95
brize,1.4
broad,4.9
broch,2.33
brock,3.51
brods,0.0
brogh,0.05
brogs,0.0
broil,2.64
broke,4.54
brome,2.76
bromo,2.81
bronc,2.0
brond,1.42
brood,3.7
brook,4.04
brool,0.64
broom,3.53
broos,0.0
brose,2.07
brosy,0.36
broth,3.61
brown,5.12
brows,0.0
bruck,0.0
brugh,1.91
bruhs,0.0
bruin,2.53
bruit,2.55
bruja,0.0
brujo,0.0
brule,2.54
brume,1.36
brung,1.91
brunt,3.24
brush,4.28
brusk,1.03
